annotation_id,annotator,email,created_at,timestamp,id,image,lead_time,text_cap_en,text_cap_native,text_culture_loc,text_image_loc,text_submitter_native_lang,updated_at,similarity_id
,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%281%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,chickens in a cage on a poultry farm,ayam-ayam di dalam kandang pada peternakan ayam petelur,Indonesia,"Bandung, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2810%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Bird's eye view of the Prince Diponegoro Mosque at the Taman Mini Indonesia Indah (TMII),Penampakan atas Masjid Pangeran Diponegoro pada Taman Mini Indonesia Indah (TMII),Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2811%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Bird's eye view of the St. Catherine Catholic Church at the Taman Mini Indonesia Indah (TMII),Penampakan atas Gereja Katolik Santa Catharina pada Taman Mini Indonesia Indah (TMII),Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2812%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Riverside Glamping Place at Pangalengan Area of Bandung,"Glamping tepi sungai di Pangalengan, Bandung",Indonesia,"Bandung, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2813%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Soekarno-Hatta Airport's Commuter Line (Basoetta),Kereta Api Bandara Soekarno-Hatta (Basoetta),Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2814%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Cafe with Batur Mount's panoramic view,Cafe dengan pemandangan Gunung Batur di Bali,Indonesia,"Bali, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2815%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Old Bakery built in the Dutch Era located at Malang,Toko Roti Kuno Peninggalan Zaman Belanda di Malang,Indonesia,"Malang, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2816%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Nglanggeran Ancient Volcano in Yogyakarta,Gunung Api Purba Nglanggeran di Yogyakarta,Indonesia,"Yogyakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2817%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"Traditional Yogyakarta dish (rice, braised tofu, tendons, and vermicelli) with a view of the Nglanggeran Ancient Volcano","Makanan tradisional Yogyakarta (nasi, tahu bacem, kikil, dan bihun) dengan pemandangan Gunung Api Purba Nglanggeran",Indonesia,"Yogyakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2818%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"Sate Klathak (goat satay with bicycle spokes skewers), traditional dish of Yogyakarta","Sate Klathak (sate kambing dengan tusukan jeruji besi sepeda), makanan tradisional Yogyakarta",Indonesia,"Yogyakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2819%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Bird's eye view of Krecek Village at Central Java,Penampakan atas Dusun Krecek di Jawa Tengah,Indonesia,"Jawa Tengah, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%282%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Nasi uduk (white rice cooked in coconut milk topped with fried onions),Nasi uduk (nasi putih yang dimasak dengan santan dengan topping bawang goreng),Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2820%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Kwan Im Statue at Avalokitesvara Temple next to the forest in Cianjur,Patung Kwan Im pada Vihara Avalokitesvara di samping hutan di Cianjur,Indonesia,"Cianjur, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2821%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Nasi Tim (steamed rice with chicken until soft and savory),Nasi Tim (nasi yang dikukus dengan potongan ayam hingga lembut dan gurih),Indonesia,"Cianjur, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2822%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,The Kwan Im statue at the Sakyavanaram Pacet Temple in Cipanas,Patung Kwan Im pada Vihara Sakyavanaram Pacet di Cipanas,Indonesia,"Cipanas, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2823%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Mie Belacan ((a traditional dish from Medan that is noodles cooked with shrimp paste seasoning and seafood topping),Mie Belacan (hidangan tradisional dari Medan berupa mie yang dimasak dengan bumbu terasi dan isian seafood),Indonesia,"Medan, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2824%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Rice with kalasan fried chicken with lettuce and chili sauce condiment,Nasi dengan ayam goreng kalasan dengan selada dan sambal,Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2825%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"View at Petak Enam, Chandra Glodok at nighttime (a culinary tourism destination with Chinese architectural buildings and elements)","Suasana malam di Petak Enam, Chandra Glodok (destinasi wisata kuliner dengan bangunan arsitektur Cina)",Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2826%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"View at Petak Enam, Chandra Glodok at nighttime (a culinary tourism destination with Chinese architectural buildings and elements)","Suasana malam di Petak Enam, Chandra Glodok (destinasi wisata kuliner dengan bangunan arsitektur Cina)",Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2827%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Wall frame crafts made out of silver from Kotagede (silver craftsman's area) in Yogyakarta,Hiasan dinding kerajinan perak dengan frame dari Kotagede (tempat pengrajin perak) di Yogyakarta,Indonesia,"Yogyakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2828%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Breksi Cliff (a natural rock tourist destination from a former mine) near Prambanan,Tebing Breksi (destinasi wisata batuan alam bekas tambang) di dekat Prambanan,Indonesia,"Yogyakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2829%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Nasi Hainam Campur (Hainanese rice with various types of pork toppings) usually eaten by people with Chinese-Indonesian ethnicity,Nasi Hainam Campur (Nasi hainam dengan topping aneka jenis babi) biasanya dimakan oleh orang Indonesia beretnis Tionghoa,Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%283%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"Yellow fried chicken, fried tempeh with skin, intestines, and heart skewers (usually eaten with nasi uduk)","Ayam goreng, tempe goreng dengan jeroan sate kulit, usus, dan jantung (biasanya dimakan dengan nasi uduk)",Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2830%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"Specialty noodle dish from the city of Pematang Siantar, North Sumatra (usually eaten by people with Chinese-Indonesian ethnicity)","Hidangan mie khas dari kota Pematang Siantar, Sumatera Utara (biasanya dimakan oleh orang Indonesia beretnis Tionghoa)",Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2831%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"Villa with farm in Lembang, Bandung","Villa dengan kebun di Lembang, Bandung",Indonesia,"Bandung, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2832%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"Angkringan in Semarang (street stalls selling food and drinks at night, often found in Central Java)","Angkringan di Semarang (warung kaki lima yang menjual makanan dan minuman pada malam hari, sering ditemukan di Jawa Tengah)",Indonesia,"Jawa Tengah, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2833%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"Warteg (warung Tegal) meal consisting of rice, dried potatoes (mustofa), fried egg, green beans and stir-fried intestines.","Makanan warteg (Warung Tegal) yang terdiri dari nasi, kentang kering (mustofa), telur, kacang panjang, dan tumis usus.",Indonesia,"Depok, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2834%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"Sunset scenery at Kuta Beach, Bali","Suasana matahari terbenam di Pantai Kuta, Bali",Indonesia,"Bali, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2835%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Indomie (famous instant noodle brand from Indonesia) with egg,Indomie goreng dengan telur,Indonesia,"Jakarta, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2836%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,Soto Bokoran (legendary soto specialty of Semarang),Soto Bokoran (Soto legendaris khas semarang),Indonesia,"Semarang, Indonesia",Indonesian (ind),,

,,seacrowd.research@gmail.com,23/01/2025,23/01/2025,,https://raw.githubusercontent.com/SEACrowd/sea-vl-image-collection/refs/heads/main/data/Fil%20%2837%29%20-%20Filbert%20Aurelian%20Tjiaranata.jpg,,"Nasi Pecel (a typical Javanese dish consisting of white rice, boiled vegetables, fried tempeh, tempeyek, and peanut sauce)","Nasi Pecel (hidangan khas Jawa yang terdiri dari nasi putih, sayuran rebus, tempe goreng, tempeyek, dan sambal kacang)",Indonesia,"Malang, Indonesia",Indonesian (ind),,

